50
city0 city1 city2 city3 city4 city5 city6 city7 city8 city9 city10 city11 city12 city13 city14 city15 city16 city17 city18 city19 city20 city21 city22 city23 city24 city25 city26 city27 city28 city29 city30 city31 city32 city33 city34 city35 city36 city37 city38 city39 city40 city41 city42 city43 city44 city45 city46 city47 city48 city49 
0 48 34 23 10 3 77 22 74 20 65 73 55 13 71 90 37 57 90 83 68 9 19 38 10 9 27 83 11 61 17 73 46 97 48 32 73 41 62 94 9 42 96 89 34 55 3 91 68 32 
48 0 16 47 17 35 30 59 71 26 61 51 12 96 29 45 84 53 49 55 29 49 98 37 1 24 72 59 100 35 33 44 71 82 91 68 7 77 82 91 55 33 40 12 94 30 63 63 94 55 
34 16 0 7 36 73 69 47 64 77 3 24 42 70 28 66 36 37 83 86 80 92 29 38 96 60 98 27 38 41 53 30 76 22 72 88 57 59 53 63 23 85 69 46 91 53 21 8 97 62 
23 47 7 0 52 56 93 83 69 95 17 86 76 32 85 41 27 39 54 11 65 13 52 79 74 35 13 88 93 98 42 15 90 56 6 45 44 94 54 66 8 80 99 68 4 75 71 98 62 35 
10 17 36 52 0 29 26 82 93 59 31 57 60 41 76 46 86 83 75 85 22 32 17 94 90 5 4 71 83 86 55 69 51 48 73 87 94 41 34 2 46 80 84 26 51 50 23 52 47 86 
3 35 73 56 29 0 56 45 86 3 27 17 26 89 87 9 39 56 21 75 6 15 31 37 62 87 28 29 29 30 14 56 50 25 33 8 81 47 30 6 39 84 40 68 34 31 74 24 39 68 
77 30 69 93 26 56 0 97 3 72 12 27 22 86 99 19 54 16 3 81 27 40 50 15 73 20 9 52 53 41 63 92 34 19 90 61 81 75 88 8 45 68 16 90 23 45 42 91 71 17 
22 59 47 83 82 45 97 0 81 67 72 58 71 91 71 71 30 32 24 16 17 59 26 65 69 59 46 59 70 6 97 74 66 36 21 28 69 74 43 68 91 37 22 43 72 45 87 18 39 94 
74 71 64 69 93 86 3 81 0 79 12 27 27 98 88 2 25 31 32 52 17 23 59 92 59 46 9 14 45 92 61 23 15 77 66 75 12 98 54 70 40 26 94 64 12 50 89 41 77 5 
20 26 77 95 59 3 72 67 79 0 48 58 35 90 48 24 49 42 70 42 27 5 30 50 32 7 86 61 95 93 16 49 83 75 32 32 14 81 84 35 55 19 27 48 91 19 18 4 56 67 
