100
city0 city1 city2 city3 city4 city5 city6 city7 city8 city9 city10 city11 city12 city13 city14 city15 city16 city17 city18 city19 city20 city21 city22 city23 city24 city25 city26 city27 city28 city29 city30 city31 city32 city33 city34 city35 city36 city37 city38 city39 city40 city41 city42 city43 city44 city45 city46 city47 city48 city49 city50 city51 city52 city53 city54 city55 city56 city57 city58 city59 city60 city61 city62 city63 city64 city65 city66 city67 city68 city69 city70 city71 city72 city73 city74 city75 city76 city77 city78 city79 city80 city81 city82 city83 city84 city85 city86 city87 city88 city89 city90 city91 city92 city93 city94 city95 city96 city97 city98 city99 
0 34 10 77 74 65 55 71 37 90 68 19 10 27 11 17 46 48 73 62 9 96 34 3 68 52 25 9 24 62 61 30 79 71 33 57 89 43 40 56 67 100 84 97 79 14 97 7 1 67 42 81 18 16 70 67 23 57 51 94 74 84 74 78 60 53 68 42 92 46 38 50 41 63 24 32 28 58 33 51 16 28 64 61 84 9 43 75 8 11 11 91 6 42 28 16 86 40 65 9 
34 0 17 30 71 61 12 29 84 49 29 98 1 72 100 33 71 91 7 82 55 40 94 63 94 10 82 33 30 92 9 12 46 91 52 18 16 38 27 88 17 100 48 87 7 33 27 84 69 86 98 71 93 53 53 38 57 82 29 86 32 86 49 72 4 30 3 60 79 4 59 24 32 64 11 5 21 59 59 48 64 26 14 17 48 87 21 79 84 78 98 73 11 40 85 100 12 95 88 63 
10 17 0 69 64 3 42 28 36 83 80 29 96 98 38 53 76 72 57 53 23 69 91 21 97 88 1 79 90 62 83 12 41 74 38 28 9 7 96 25 89 21 41 12 28 93 83 46 24 40 46 91 31 55 36 49 68 96 29 17 5 87 11 23 7 41 66 21 44 31 7 84 71 79 72 96 6 20 89 59 18 1 32 82 24 38 26 38 16 85 98 39 29 89 56 23 67 61 30 51 
77 30 69 0 69 17 76 85 27 54 65 52 74 13 93 42 90 6 44 54 8 99 4 71 62 84 62 15 67 31 63 55 34 28 15 56 11 68 7 23 26 21 86 77 14 83 3 75 48 19 55 13 19 83 72 49 61 87 23 9 84 21 97 64 92 61 82 16 62 21 12 6 55 20 79 95 28 46 45 40 18 49 87 78 82 4 82 1 78 76 6 72 14 40 96 34 55 32 19 25 
74 71 64 69 0 31 60 76 86 75 22 17 90 4 83 55 51 73 94 34 46 84 51 23 47 86 63 88 88 99 7 81 86 14 64 3 41 54 15 40 2 37 65 48 24 68 76 92 97 8 59 1 49 34 45 5 99 30 69 89 92 58 42 60 94 47 44 45 22 26 15 48 36 52 94 51 38 2 5 6 100 76 61 34 64 24 19 49 95 36 13 94 21 78 86 69 55 54 12 16 
65 61 3 17 31 0 26 87 39 21 6 31 62 28 29 14 50 33 81 30 39 40 34 74 39 91 3 40 57 70 79 54 1 55 52 87 100 94 51 42 11 85 24 22 72 21 17 89 67 69 59 65 57 89 31 49 44 32 86 100 23 3 92 41 97 28 11 79 19 35 48 14 4 42 91 50 11 90 31 82 52 31 67 29 45 2 89 94 81 77 57 97 83 73 50 30 43 66 3 100 
55 12 42 76 60 26 0 99 54 3 27 50 73 9 53 63 34 90 81 88 45 16 23 42 71 51 49 75 33 92 80 94 69 97 20 69 98 6 87 49 51 13 38 3 28 59 66 39 31 55 95 76 91 56 83 66 35 79 75 26 11 40 67 69 84 45 9 59 99 22 94 87 46 16 54 52 84 17 28 69 44 58 50 85 50 42 52 59 56 41 57 74 33 53 39 44 44 38 23 71 
71 29 28 85 76 87 99 0 30 24 17 26 69 46 70 97 66 21 69 43 91 22 72 87 39 87 96 21 71 1 98 22 95 73 91 99 8 47 80 5 83 16 54 46 74 75 53 65 66 51 92 85 83 61 62 22 42 60 85 97 88 7 90 83 51 23 90 85 84 34 30 85 10 77 35 82 4 57 50 15 39 14 23 4 27 46 53 58 69 49 31 62 67 97 56 17 1 91 43 56 
37 84 36 27 86 39 54 30 0 32 17 59 59 9 45 61 15 66 12 54 40 94 12 89 77 56 85 28 40 80 88 86 34 51 18 80 55 10 77 35 22 54 69 3 62 88 60 5 53 33 42 83 44 46 96 34 20 53 52 70 65 77 21 49 58 37 59 39 34 36 88 10 15 69 67 99 38 40 20 2 83 97 61 45 41 31 58 72 35 30 32 9 88 83 16 29 51 72 88 12 
90 49 83 54 75 21 3 24 32 0 27 30 32 86 95 16 83 32 14 84 55 27 91 18 56 82 17 55 67 18 39 29 86 42 84 12 5 25 23 69 94 86 31 65 74 95 56 78 1 100 38 12 40 24 52 76 53 90 85 32 69 25 56 67 36 74 85 84 96 88 81 35 33 22 48 46 84 26 69 17 55 17 84 77 63 95 66 59 84 91 35 17 32 72 42 62 67 28 43 22 
68 29 80 65 22 6 27 17 17 27 0 21 69 39 9 5 8 59 69 21 5 23 39 18 18 29 38 89 23 18 70 44 49 42 19 90 38 55 80 42 39 42 56 40 35 84 18 54 18 21 1 7 2 43 67 42 63 59 38 15 95 53 49 91 13 55 22 39 10 94 86 1 18 99 14 76 42 26 75 95 88 93 74 75 92 1 76 83 12 34 2 1 65 86 57 91 10 98 98 81 
