75
city0 city1 city2 city3 city4 city5 city6 city7 city8 city9 city10 city11 city12 city13 city14 city15 city16 city17 city18 city19 city20 city21 city22 city23 city24 city25 city26 city27 city28 city29 city30 city31 city32 city33 city34 city35 city36 city37 city38 city39 city40 city41 city42 city43 city44 city45 city46 city47 city48 city49 city50 city51 city52 city53 city54 city55 city56 city57 city58 city59 city60 city61 city62 city63 city64 city65 city66 city67 city68 city69 city70 city71 city72 city73 city74 
0 51 23 1 77 14 20 8 55 30 90 16 90 64 9 70 10 49 83 49 17 16 97 85 73 37 94 17 96 63 55 53 68 100 26 65 9 4 18 68 61 12 39 69 71 100 39 54 89 23 69 62 56 57 43 25 84 86 61 34 14 70 80 5 1 20 97 37 81 96 31 48 70 26 2 
51 0 47 59 30 75 26 78 12 76 45 65 49 29 49 39 1 24 59 24 33 50 82 70 7 56 91 51 40 20 30 31 94 75 19 24 33 30 44 86 9 55 2 34 91 45 12 77 16 51 7 48 88 97 99 8 48 23 15 24 33 79 100 42 69 18 34 82 71 59 30 47 53 2 54 
23 47 0 19 69 23 77 1 42 9 66 43 83 85 92 64 96 83 27 52 53 58 22 79 57 63 63 90 69 76 53 73 97 96 74 16 79 8 77 3 83 36 24 96 74 98 53 71 9 38 30 40 25 11 23 75 41 46 55 53 93 77 23 10 24 14 94 71 91 8 25 72 36 84 21 
1 59 19 0 93 69 95 59 76 93 41 76 54 79 13 76 74 19 88 75 42 41 56 18 44 44 66 39 99 57 75 65 62 7 13 73 15 93 15 31 63 28 44 72 28 2 64 86 11 18 9 9 23 77 56 85 86 80 13 80 83 59 3 82 48 54 69 50 13 46 100 83 72 70 4 
77 30 69 93 0 19 59 40 60 98 46 14 75 1 32 16 90 77 71 34 55 53 48 16 94 43 2 64 84 32 50 8 47 59 38 30 88 52 27 58 7 34 42 4 14 29 9 53 41 7 42 91 40 93 88 29 65 86 53 20 68 53 3 80 97 18 74 49 1 75 54 45 45 89 73 
14 75 23 69 19 0 3 4 26 50 9 43 21 72 15 22 62 21 29 92 14 37 25 27 81 22 6 36 40 96 31 96 39 90 99 42 40 54 18 82 79 41 81 43 55 43 50 52 100 32 26 53 42 51 58 47 24 14 39 27 21 47 70 3 67 78 36 78 65 39 52 43 31 65 21 
20 26 77 95 59 3 0 61 22 57 19 97 3 86 40 76 73 12 52 1 63 52 19 85 81 23 8 98 16 45 45 29 71 59 6 16 75 93 35 68 80 63 96 12 97 5 89 98 98 98 37 80 49 91 59 46 38 36 7 94 59 38 55 84 31 61 10 100 76 57 95 49 83 64 33 
8 78 1 59 40 4 61 0 71 62 71 49 24 75 59 16 69 83 59 55 97 88 36 69 69 13 68 10 22 92 45 82 39 10 63 16 21 71 21 11 98 28 19 80 73 69 46 52 8 6 81 19 5 96 65 82 54 36 26 86 75 16 30 93 66 6 97 36 85 21 42 37 62 25 54 
55 12 42 76 60 26 22 71 0 28 2 73 32 72 23 29 59 57 14 91 61 27 77 7 12 49 70 31 94 4 50 91 77 90 18 37 28 20 72 67 88 78 60 35 51 69 32 2 55 37 17 20 35 53 63 15 69 84 31 66 88 89 35 33 53 54 82 74 83 33 65 54 96 35 25 
30 76 9 93 98 50 57 62 28 0 24 27 70 34 5 35 32 91 61 98 16 63 75 29 14 19 35 25 27 89 19 11 56 48 93 58 55 73 93 88 39 18 64 13 42 42 21 36 5 58 71 8 69 51 11 50 31 87 50 72 95 17 39 13 1 92 62 38 12 67 84 50 52 71 34 
90 45 66 41 46 9 19 71 2 24 0 7 79 68 96 71 69 26 84 20 5 56 60 98 69 69 72 9 23 16 66 78 18 41 40 60 89 8 65 72 70 41 29 94 42 97 7 94 38 100 85 85 42 16 47 69 56 97 80 45 84 89 75 100 18 63 40 52 7 23 21 89 67 52 58 
16 65 43 76 14 43 97 49 73 27 7 0 60 54 53 6 27 25 87 81 100 84 99 19 52 18 58 38 39 51 64 72 72 19 48 1 42 95 55 78 84 43 30 31 47 63 72 73 86 91 48 48 73 37 66 39 67 49 80 8 65 83 27 62 74 77 85 32 69 58 45 24 84 98 66 
