20
city0 city1 city2 city3 city4 city5 city6 city7 city8 city9 city10 city11 city12 city13 city14 city15 city16 city17 city18 city19 
0 78 39 27 97 25 63 16 21 79 58 5 29 100 41 97 5 74 13 55 
78 0 23 83 91 52 66 17 81 69 79 94 72 19 5 42 46 35 12 31 
39 23 0 89 18 71 76 44 67 46 64 43 87 26 92 20 83 3 23 82 
27 83 89 0 68 6 89 39 53 65 68 70 61 43 54 17 44 35 11 21 
97 91 18 68 0 49 26 52 48 73 5 83 86 60 79 53 74 67 73 79 
25 52 71 6 49 0 5 39 82 30 95 90 41 22 16 90 97 79 40 93 
63 66 76 89 26 5 0 79 11 41 66 25 39 24 33 2 49 87 37 50 
16 17 44 39 52 39 79 0 8 43 10 40 62 9 50 10 18 10 65 10 
21 81 67 53 48 82 11 8 0 50 11 28 27 10 52 89 46 5 45 93 
79 69 46 65 73 30 41 43 50 0 39 3 85 77 94 4 89 18 39 74 
58 79 64 68 5 95 66 10 11 39 0 48 52 46 10 51 18 93 79 78 
5 94 43 70 83 90 25 40 28 3 48 0 30 7 16 97 76 67 92 51 
29 72 87 61 86 41 39 62 27 85 52 30 0 47 73 21 32 78 8 57 
100 19 26 43 60 22 24 9 10 77 46 7 47 0 96 51 70 45 99 94 
41 5 92 54 79 16 33 50 52 94 10 16 73 96 0 18 89 100 93 31 
97 42 20 17 53 90 2 10 89 4 51 97 21 51 18 0 25 42 8 7 
5 46 83 44 74 97 49 18 46 89 18 76 32 70 89 25 0 5 63 13 
74 35 3 35 67 79 87 10 5 18 93 67 78 45 100 42 5 0 65 2 
13 12 23 11 73 40 37 65 45 39 79 92 8 99 93 8 63 65 0 77 
55 31 82 21 79 93 50 10 93 74 78 51 57 94 31 7 13 2 77 0 
